a01	stime_h_q	stime_m_q	res_id_q	consent_q	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_11b	q_11c	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20a_3	q_20b	q_20b_2	q_20b_3	q_20c	q_20c_2	q_20c_3	q_20d_1	q_20d_2	q_20d_3	q_21	etime_h_q	etime_m_q	flag_q_20b_3	flag_q_20c_3	hhid2	hh_type	round
3102.0	10	45	1	1	1	1000		9.0	0	3	2	2	4	1	2	1		268.0	1	2	101.0	5	0.0	1		3			1	2		" "	1	3	" "	2		" "	6			400	10	50			"3102"	3	3.0
3103.0	15	23	1	1	1	1500		15.0	0	3	4	2	4	1	2	2	1	396.0	1	2	200.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			100	15	38			"3103"	3	3.0
3104.0	13	1	2	1	1	500		12.0	0	2	2	2	4	1	3	2	1	347.0	1	1	300.0	5	0.0	1		3			1	1	2	" "	2		" "	2		" "	1			40	13	6			"3104"	3	3.0
3105.1	9	3	3	1	1	500		30.0	2	3	4	2	1	1	2	2	1	324.0	1	2	280.0	5	600.0	1		3			1	1	3	" "	2		" "	2		" "	6			300	9	8			"3105.1"	3	3.0
3105.2	14	46	4	1	1	1500		2.0	0	3	2	2	4	1	2	3	2	288.0	1	2	200.0	5	500.0	1		3			1	1	4	" "	1	5	" "	2		" "	1			350	14	53			"3105.2"	3	3.0
3107.0	16	1	2	1	1	1000		10.0	0	3	1	2	1	1	3	2	1	468.0	1	2	94.0	5	200.0	1		3			4	1	2	" "	1	1	" "	1	7	" "	1			1200	16	6			"3107"	3	3.0
3108.0	15	36	5	1	1	2000		5.0	0	2	1	2	4	1	4	2	1	547.0	1	2	200.0	5	0.0	1		3			2	1	5	" "	1	4	" "	1	2	" "	1	4		500	15	43			"3108"	3	3.0
3109.0	14	59	2	1	1	1000		15.0	2	3	4	2	4	1	2	2	1	288.0	1	2	60.0	9	0.0	1		3			1	2		" "	1	3	" "	2		" "	6			150	15	12			"3109"	3	3.0
3110.0	14	5	7	1	1	3000		30.0	0	3	4	2	4	2	6	2	1	648.0	1	2	250.0	5	0.0	1		3			5	1	7	" "	1	5	" "	1	13	" "	1	4		1000	14	10			"3110"	3	3.0
3111.0	10	33	1	1	1	500		6.0	1	2	4	2	4	1	1	2	1	162.0	1	2	76.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	1			20	10	44			"3111"	3	3.0
3114.0	13	44	1	1	1	1500		6.0	1	2	2	2	4	1	3	2	1	288.0	1	2	134.0	9	0.0	1		3			4	1	1	" "	1	3	" "	1	4	" "	1			600	13	54			"3114"	3	3.0
3115.0	11	43	6	1	1	1500		20.0	1	3	4	2	4	1	3	1		360.0	1	2	212.0	9	0.0	1		3			5	1	6	" "	1	2	" "	1	8	" "	1	4		500	11	53			"3115"	3	3.0
3116.0	11	27	1	1	1	1500		15.0	3	3	4	2	4	1	2	2	1	288.0	1	2	250.0	5	1000.0	1		3			2	1	1	" "	1	3	" "	2		" "	1			450	11	35			"3116"	3	3.0
3117.0	13	6	5	1	1	2500		8.0	2	2	1	2	1	1	3	1		324.0	1	2	450.0	3	400.0	1		3			3	1	5	" "	1	4	" "	1	6	" "	1			300	13	18			"3117"	3	3.0
3118.11	14	59	1	1	1	1000		35.0	2	2	4	2	4	2	2	2	1	315.0	1	1	450.0	5	350.0	1		3			2	1	1	" "	1	10	" "	2		" "	1			500	15	6			"3118.1.1"	3	3.0
3118.12	11	52	8	1	1	800		4.0	2	1	2	2	4	1	1	2	1	158.0	1	2	100.0	5	0.0	1		3			1	1	8	" "	1	9	" "	2		" "	1			200	11	58			"3118.1.2"	3	3.0
3118.2	14	2	4	1	1	1500		3.0	0	2	4	2	1	1	1	2	1	360.0	1	2	100.0	5	500.0	1		3			1	1	4	" "	2		" "	2		" "	6			229	14	10			"3118.2"	3	3.0
3118.3	17	59	7	1	1	1000		20.0	1	2	4	2	4	1	1	2	1	108.0	2			3	300.0	1		3			3	1	7	" "	2		" "	2		" "	1			500	18	6			"3118.3"	3	3.0
3119.0	14	36	2	1	1	1500		20.0	0	2	4	2	4	2	2	2	1	432.0	1	1	200.0	5	0.0	1		3			3	1	1	" "	1	7	" "	1	2	" "	1			150	14	42			"3119"	3	3.0
3120.0	11	22	1	1	1	1000		15.0	3	3	4	2	4	1	2	2	1	360.0	1	2	375.0	3	1150.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			200	11	30			"3120"	3	3.0
3121.0	14	5	1	1	1	1000		25.0	0	3	2	2	4	1	3	2	1	108.0	1	2	260.0	2	0.0	1		3			3	1	1	" "	1	3	" "	1	4	" "	1			200	14	10			"3121"	3	3.0
3122.0	12	46	1	1	1	1000		4.0	0	3	2	2	4	1	1	1		135.0	1	2	105.0	2	0.0	1		3			2	1	1	" "	1	3	" "	2		" "	1	4		200	12	50			"3122"	3	3.0
3123.0	13	21	4	1	1	2500		30.0	2	3	2	2	4	1	2	2	1	504.0	1	2	230.0	2	0.0	1		3			2	1	4	" "	1	1	" "	2		" "	1			150	13	24			"3123"	3	3.0
3124.0	17	31	1	1	1	2000		20.0	0	3	2	2	4	1	2	2	1	504.0	1	2	330.0	2	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			100	17	34			"3124"	3	3.0
3125.1	15	56	1	1	1	2000		10.0	0	3	2	2	4	1	2	2	1	216.0	1	2	110.0	2	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			50	16	2			"3125.1"	3	3.0
3125.2	10	16	4	1	1	1500		30.0	1	3	2	2	4	1	1	2	1	216.0	1	2	0.0	2	0.0	1		3			0	2		" "	2		" "	2		" "	6				10	20			"3125.2"	3	3.0
