a01	j2a_01	j2a_02	j2a_03y	j2a_03m	j2a_04	j2a_04oth	j2a_05	j2a_06	j2a_09	j2a_09oth	j2a_10	j2a_10oth	etime_h_j	etime_m_j	hhid2	hh_type	round
3108.0	1	2				" "				" "		" "	13	5	"3108"	3	3.0
3109.0	1	2				" "				" "		" "	12	44	"3109"	3	3.0
3110.0	1	2				" "				" "		" "	12	50	"3110"	3	3.0
3111.0	2					" "				" "		" "	17	23	"3111"	3	3.0
3114.0	1	1	2016	4	2	" "	2	2	3	" "		" "	11	59	"3114"	3	3.0
3115.0	1	2				" "				" "		" "	10	9	"3115"	3	3.0
3116.0	1	2				" "				" "		" "	10	28	"3116"	3	3.0
3117.0	1	2				" "				" "		" "	11	31	"3117"	3	3.0
3118.11	1	2				" "				" "		" "	12	22	"3118.1.1"	3	3.0
3118.12	2					" "				" "		" "	10	52	"3118.1.2"	3	3.0
3118.2	2					" "				" "		" "	11	7	"3118.2"	3	3.0
3118.3	2					" "				" "		" "	17	13	"3118.3"	3	3.0
3119.0	1	2				" "				" "		" "	12	55	"3119"	3	3.0
3120.0	1	2				" "				" "		" "	10	23	"3120"	3	3.0
3121.0	1	2				" "				" "		" "	11	30	"3121"	3	3.0
3122.0	1	2				" "				" "		" "	11	49	"3122"	3	3.0
3123.0	1	2				" "				" "		" "	12	5	"3123"	3	3.0
3124.0	1	2				" "				" "		" "	16	35	"3124"	3	3.0
3125.1	1	2				" "				" "		" "	14	48	"3125.1"	3	3.0
3125.2	1	2				" "				" "		" "	9	24	"3125.2"	3	3.0
3126.0	2					" "				" "		" "	11	18	"3126"	3	3.0
3127.0	2					" "				" "		" "	10	24	"3127"	3	3.0
3128.0	1	2				" "				" "		" "	10	55	"3128"	3	3.0
3129.0	1	2				" "				" "		" "	10	45	"3129"	3	3.0
3130.1	1	2				" "				" "		" "	10	33	"3130.1"	3	3.0
3130.2	2					" "				" "		" "	10	18	"3130.2"	3	3.0
3132.0	1	2				" "				" "		" "	11	46	"3132"	3	3.0
3133.0	1	2				" "				" "		" "	9	14	"3133"	3	3.0
3134.0	2					" "				" "		" "	10	40	"3134"	3	3.0
3135.0	1	2				" "				" "		" "	16	30	"3135"	3	3.0
3136.0	1	2				" "				" "		" "	10	43	"3136"	3	3.0
3137.0	1	2				" "				" "		" "	15	19	"3137"	3	3.0
3138.0	1	2				" "				" "		" "	10	19	"3138"	3	3.0
3139.0	1	2				" "				" "		" "	10	24	"3139"	3	3.0
3140.0	1	2				" "				" "		" "	11	35	"3140"	3	3.0
3141.0	1	2				" "				" "		" "	10	24	"3141"	3	3.0
3142.0	2					" "				" "		" "	15	34	"3142"	3	3.0
3143.0	2					" "				" "		" "	9	45	"3143"	3	3.0
3144.0	1	2				" "				" "		" "	10	54	"3144"	3	3.0
3145.0	1	2				" "				" "		" "	15	54	"3145"	3	3.0
3146.0	1	2				" "				" "		" "	9	50	"3146"	3	3.0
3147.0	1	2				" "				" "		" "	11	15	"3147"	3	3.0
3148.0	1	2				" "				" "		" "	10	24	"3148"	3	3.0
3149.0	1	2				" "				" "		" "	13	45	"3149"	3	3.0
3150.0	1	2				" "				" "		" "	11	4	"3150"	3	3.0
3151.0	1	2				" "				" "		" "	11	44	"3151"	3	3.0
3152.0	1	2				" "				" "		" "	10	28	"3152"	3	3.0
3153.0	1	2				" "				" "		" "	10	39	"3153"	3	3.0
3154.0	1	2				" "				" "		" "	10	40	"3154"	3	3.0
3155.0	1	2				" "				" "		" "	10	34	"3155"	3	3.0
3156.0	1	2				" "				" "		" "	9	56	"3156"	3	3.0
3157.0	1	2				" "				" "		" "	15	35	"3157"	3	3.0
3158.0	1	2				" "				" "		" "	10	13	"3158"	3	3.0
3159.0	2					" "				" "		" "	15	13	"3159"	3	3.0
3160.0	1	2				" "				" "		" "	11	23	"3160"	3	3.0
3161.0	2					" "				" "		" "	10	34	"3161"	3	3.0
3162.0	2					" "				" "		" "	11	4	"3162"	3	3.0
3163.0	1	2				" "				" "		" "	10	44	"3163"	3	3.0
3164.0	2					" "				" "		" "	10	35	"3164"	3	3.0
3165.0	1	2				" "				" "		" "	10	25	"3165"	3	3.0
3167.1	1	2				" "				" "		" "	10	18	"3167.1"	3	3.0
3167.2	1	2				" "				" "		" "	10	19	"3167.2"	3	3.0
3167.3	1	2				" "				" "		" "	14	25	"3167.3"	3	3.0
3168.0	2					" "				" "		" "	10	13	"3168"	3	3.0
3169.0	1	2				" "				" "		" "	14	10	"3169"	3	3.0
3170.0	2					" "				" "		" "	10	48	"3170"	3	3.0
3171.1	1	2				" "				" "		" "	10	45	"3171.1"	3	3.0
3171.2	2					" "				" "		" "	14	51	"3171.2"	3	3.0
3172.0	2					" "				" "		" "	14	33	"3172"	3	3.0
3173.1	1	2				" "				" "		" "	10	20	"3173.1"	3	3.0
