a01	hh_type	m2_01	m2_02	m2_03	m2_04	m2_05	m2_06	m2_07	m2_08	m2_09	m2_10	m2_11	m2_12	m2_13	m2_14	m2_15	m2_16	m2_17	m2_18	m2_19	m2_20	m2_21
83	3	3	27	7	10	5	3	2		20	60	1	1		2		1	0	0	1	0.1	2
83	3	4	7	9	2	5	1	3	150	22000	22000	1	1		2		1	0	0	1	0.5	2
83	3	5	6	11	10	5	8	3	0.25	100	800	1	1		2		1	0	0	1	0.2	2
84	3	99																				
85	3	1	6	11	10	5	4	3	0.4	100	400	1	1		2		2	1	0	1	0.05	2
86	3	99																				
87	3	1	6	12	10	5	1	3	0.5	170	170	1	1		2		1	0	0	1	0.1	2
89	3	99																				
90	3	1	6	10	10	5	1	3	1	200	200	1	1		2		1	0	0	1	0	2
90	3	2	14	8	10	5	1	3	2	20	40	1	1		2		1	0	0	1	0	2
90	3	3	27	8	10	5	1	3	0.5	10	10	1	1		2		1	0	0	1	0	2
91	3	1	6	10	10	5	2	3	1.5	400	800	1	1		2		1	0	0	1	0.2	2
92	3	99																				
93	3	1	27	7	2	5	150	2		6.7	1000	1	1		2		1	0	0	1	0.25	2
94	3	1	17	12	2	5	20	2		10	200	1	1		2		2	0.7	0.25	3	1	2
94	3	2	19	12	10	5	2	2		10	20	1	1		2		2	0.7	0.25	3	1	2
94	3	3	27	11	2	5	10	2		10	100	1	1		2		2	0.7	0.25	3	1	2
94	3	4	27	3	5	4	800	2		143	114400	4	0	5	2		9	0.7	0.25	3	1	1
95	3	1	27	11	10	5	2	3	1	20	40	1	1		2		1	0	0	1	0	2
96	3	1	14	6	10	5	1	3	5	20	20	1	1		2		1	0	0	1	0.1	2
96	3	2	6	11	10	5	3	3	1.5	333	1000	1	1		2		1	0	0	1	0.5	2
97	3	1	14	6	10	5	2	3	2	30	60	1	1		2		1	0	0	1	0.1	2
97	3	2	6	11	10	5	1	3	1	200	200	1	1		2		1	0	0	1	0.1	2
97	3	3	27	12	10	5	2	3	0.5	100	200	1	1		2		2	0.1	0.25	1	0.2	2
98	3	1	6	11	10	5	2	3	1	250	500	1	1		2		1	0	0	1	0.1	2
99	3	1	6	10	10	5	1	3	1.5	300	300	1	1		2		2	0.2	1	3	0.2	2
99	3	2	17	3	2	1	25	2		20	500	1	1		2		2	0.2	1	3	0.2	2
99	3	3	27	7	2	5	40	2		15	600	1	1		2		2	0.2	1	3	0.2	2
100.1	3	1	14	5	2	5	200	2		6.25	1250	1	1		2		1	0	0	1	0.5	2
100.1	3	2	27	6	2	5	25	2		30	750	1	1		2		1	0	0	1	0.5	2
100.2	3	1	14	5	2	5	200	2		6.5	1250	1	1		2		1	0	0	1	0.5	2
100.2	3	2	27	6	2	5	25	2		30	750	1	1		2		1	0	0	1	0.5	2
101	3	1	6	11	2	5	600	3	1.5	116	69600	1	0.5	7	2		1	0	0	1	4	2
102	3	99																				
103	3	1	6	10	1	3	10	3	1	300	3000	1	1		2		2	0	0	1	1	2
104	3	99																				
105	3	1	5	3	2	5	355	2		32.5	11537.5	1	1		2		2	0.5	2	3	0.5	2
105	3	2	11	12	2	5	3	2		1000	3000	1	1		2		2	0.5	2	1	0.5	2
105	3	3	27	3	2	5	20	2		25	500	1	1		2		2	0.5	2	1	1	2
105	3	4	16	6	2	5	20	2		40	800	1	1		2		2	0.5	2	1	1	2
105	3	5	27	6	2	5	25	2		20	500	1	1		2		1	0	0	1	10	2
105	3	6	27	10	2	5	5	2		100	500	1	1		2		2	0.5	2	1	0.5	2
105	3	7	27	5	2	5	50	2		30	1500	1	1		2		2	0.5	2	1	0.5	2
105	3	8	27	7	2	5	100	2		10	1000	1	1		2		2	0.5	2	1	0.5	2
105	3	9	7	9	2	5	2	3	80	31500	63000	1	1		2		2	0.5	2	1	2	2
105	3	10	8	9	2	5	2	3	15	3300	6600	1	1		2		2	0.5	2	1	2	2
105	3	11	6	9	2	5	4	3	1.5	300	1200	1	1		2		2	0.5	2	1	1	2
106	3	1	5	3	2	3	60	2		20	1200	1	1		2		4	4	30	12	2	2
106	3	2	7	3	2	3	2	3	65	20000	40000	1	1		2		4	4	50	12	1	2
107	3	99																				
108	3	1	5	3	1	5	23	2		30.43	700	1	1		2		1	0	0	1	1	2
108	3	2	6	5	1	5	2	3	1.5	300	600	1	1		2		1	0	0	1	0.5	2
109	3	1	8	11	1	5	5	3	10	1400	7000	1	1		2		2	0.5	5	1	2	2
109	3	2	27	11	1	5	30	3	4	20	600	1	1		2		2	0.5	5	1	2	2
109	3	3	6	9	1	5	5	3	1	240	1200	1	1		2		2	0.5	5	1	2	2
110	3	99																				
111	3	1	5	4	2	5	381	2		30	11430	1	1		2		1	0	0	1	2	2
111	3	2	27	8	1	5	10	3	2	30	300	1	1		2		1	0	0	1	1	2
111	3	3	7	10	2	5	1	3	80	17000	17000	1	1		2		1	4	20	1	1	2
112	3	99																				
113	3	1	5	3	2	5	312	2		26.08	8139	1	1		2		1	0	0	1	2	2
113	3	2	27	6	2	5	391	2		30.43	11900	1	1		2		1	0	0	1	3	2
113	3	3	27	1	1	5	1000	2		2	2000	1	1		2		1	0	0	1	2	2
113	3	4	8	7	1	5	2	3	15	3500	7000	1	1		2		1	0	0	1	1	2
114	3	99																				
116	3	1	27	6	2	1	10	2		15	150	1	1		2		2	0.25	1	1	0.25	2
