a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
570	3	2																																												
571	3	2																																												
572	3	1	2																				2																							1
573	3	1	2																				2																							1
574	3	1	2																				2																							1
575	3	2																																												
576	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
577	3	1	2																				2																							1
578	3	2																																												
579	3	2																																												
580	3	2																																												
581.1	3	1	1	4	0	0	2		2		2		1	1	1	1	2		2		2		2																							
581.2	3	1	2																				2																							1
581.3	3	1	2																				2																							1
582.1	3	1	1	1	0	0	2		2		2		2		1	1	2		2		2		1	8			2	0	0	2		2		2		2		1	1	2		2		2		
582.2	3	2																																												
583.1	3	2																																												
583.2	3	2																																												
584	3	2																																												
585	3	1	2																				2																							5
586	3	2																																												
587	3	1	2																				2																							1
588	3	1	2																				2																							1
589	3	2																																												
590	3	2																																												
591	3	1	2																				1	3			2	0	0	2		2		2		1	3	1	3	2		2		2		
592	3	2																																												
593	3	2																																												
594	3	1	2																				2																							1
595	3	2																																												
596	3	2																																												
597	3	2																																												
598	3	2																																												
599	3	1	2																				1	1			4	0	0	2		2		2		1	3	1	3	1	3	2		2		
600	3	2																																												
602	3	1	2																				2																							1
603	3	2																																												
604	3	2																																												
605.1	3	2																																												
605.2	3	2																																												
606	3	1	2																				2																							4
607	3	1	2																				2																							1
608	3	1	2																				2																							1
609	3	1	2																				2																							1
610	3	1	2																				1	1			2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2		
611	3	1	2																				1	1			2	0	0	1	1	1	1	2		1	1	1	2	1	1	2		2		
612	3	1	2																				2																							1
613	3	1	2																				2																							1
615	3	2																																												
616	3	1	2																				2																							1
617	3	2																																												
618	3	1	2																				2																							5
619	3	1	2																				2																							1
620	3	1	1	1	0	0	1	1	1	1	1	1	1	1	2		2		2		2		2																							
621	3	2																																												
622	3	2																																												
623	3	1	2																				2																							1
624	3	2																																												
625	3	2																																												
626.1	3	2																																												
626.2	3	2																																												
627	3	1	2																				2																							2
628	3	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2		2		2																							
629	3	1	2																				2																							1
630	3	1	2																				2																							5
631	3	2																																												
632	3	2																																												
633	3	2																																												
634	3	1	2																				2																							1
635	3	1	2																				2																							1
636	3	2																																												
637	3	2																																												
638	3	1	2																				2																							1
639	3	2																																												
640	3	2																																												
641	3	2																																												
642	3	2																																												
643	3	2																																												
644	3	1	2																				2																							1
645	3	1	2																				2																							1
646	3	1	2																				2																							1
648	3	1	2																				2																							2
649	3	2																																												
650	3	1	2																				2																							1
651	3	2																																												
652	3	1	2																				2																							1
653	3	2																																												
654	3	2																																												
655.1	3	2																																												
655.2	3	1	2																				2																							1
656	3	2																																												
657	3	1	2																				2																							1
658	3	2																																												
659	3	1	2																				2																							1
660	3	1	2																				2																							1
661	3	1	2																				2																							1
662	3	2																																												
663	3	1	2																				2																							5
664	3	2																																												
665	3	2																																												
666.1	3	1	2																				2																							1
666.2	3	2																																												
667	3	2																																												
668	3	1	2																				2																							1
669	3	1	2																				2																							1
670	3	1	1	0	1	0	1	1	1	1	2		2		1	1	1	2	1	2	2		2																							
671	3	2																																												
672	3	2																																												
673	3	2																																												
674	3	1	2																				2																							5
675	3	1	2																				2																							5
676	3	2																																												
677.1	3	1	2																				2																							1
677.2	3	2																																												
678	3	1	2																				2																							1
679	3	2																																												
680	3	1	2																				2																							1
681	3	1	2																				2																							5
682	3	2																																												
683	3	1	2																				2																							1
684	3	2																																												
685	3	2																																												
686	3	1	2																				2																							2
