a01	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_20	q_21	sample_type	flag
26	1	200		26	6	2	4	2	4	1	1	200.0	2			5	0	4	60.0	1	30	2	
27	1	700		4	1	1	1	2	4	1	1	200.0	2			6	0	4	120.0	1	130	2	
28	2	100		5	0	2	3	2	4	1	1	150.0	2			6	0	4	100.0	1	120	2	
29	1	500		7	0	3	5	2	4	1	1	270.0	2			5	100	4	70.0	1	300	2	
30	1	1000		43	3	2	4	2	4	2	2	430.0	1	2	270	5	0	1		1	120	2	
31	1	100		30	1	2	5	2	4	1	1	200.0	2			5	0	4	112.0	1	15	2	
32	1	500		8	0	3	4	2	4	1	3	432.0	2			5	0	4	100.0	1	50	2	
33	1	500		15	0	2	1	2	1	1	2	540.0	2			5	0	4	65.0	0		2	
34	1	1000		20	0	3	5	2	4	1	2	315.0	1	2	600	5	0	1		2	400	2	
35	1	500		6	0	2	5	2	4	2	2	400.0	1	2	130	5	1000	1		2	100	2	
36	1	300		15	2	1	1	2	1	2	2	350.0	1	2	300	5	0	1		2	200	2	
37	1	1500		5	0	1	1	2	1	3	3	875.0	1	2	168	5	0	1		1	400	2	
