a01	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06	b2_07	b2_08	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	sample_type
212	3	1		2006	66	2	1.0	1	1	1	6	2	5		9999		3
214	3	1		2001	66	1	0.25	1	1	1	22	2	1		9999		3
214	4	1		2006	66	1	0.25	1	1	1	5	2	1		9999		3
216	2	1		2001	66	2	2.0	1	1	1	22	2	1		9999		3
216	3	1		2004	66	2	2.0	1	1	1	6	2	1		9999		3
216	4	1		2007	66	2	2.0	1	1	1	4	2	1		9999		3
216	5	1		2009	66	1	0.25	1	1	5	2	2	5		9999		3
217	3	1		2008	66	1	0.25	1	1	5	2	2	5		9999		3
217	4	1		2010	66	1	0.25	1	1	1	1	2	1		9999		3
218	5	1		2007	66	1	0.25	1	1	1	4	2	1		9999		3
218	6	1		2010	1	2	2.0	1	1	1	1	1	1		9999		3
218	7	1		2011	1	2	2.5	2	1	1	1	9					3
219	3	1		2002	66	2	0.25	1	1	1	8	2	1		9999		3
219	4	1		2003	66	2	0.25	1	1	1	8	2	1		9999		3
220	2	1		2009	66	1	0.25	1	1	1	3	2	1		9999		3
220	3	1		2009	66	1	0.25	1	1	5	3	2	1		9999		3
220	4	1		2009	66	1	0.25	1	1	1	1	9					3
221	3	1		2006	66	1	0.25	1	1	1	5	2	5		9999		2
222	6	1		2007	66	1	0.25	1	1	5	4	2	5		9999		2
223	3	1		2010	66	1	0.5	1	1	5	1	2	5		9999		2
228	5	1		2005	66	2	2.0	1	1	1	6	2	1		9999		2
228	6	1		2011	1	2	0.25	2	1	5	1	9					2
230	3	1		2002	66	2	2.0	1	1	1	9	2	5		9999		2
231	4	1		2002	1	2	2.5	1	1	1	10	2	1		9999		2
231	5	1		2004	1	2	2.5	1	1	1	9	2	1		9999		2
232	4	1		2004	66	2	1.5	1	1	1	7	2	5		9999		2
232	5	2	1														2
234	4	1		2002	1	1	0.5	2	2				1		2006	5	2
235	3	1		2010	1	1	0.25	1	1	1	2	1	5		9999		2
235	4	1		2011	1	1	0.25	2	1	5	1	9					2
236	4	1		2002	1	2	2.5	1	1	1	10	2	1		9999		2
237	3	1		2005	1	7	5.0	1	1	1	7	2	1		9999		2
238	2	1		2001	66	2	3.0	1	1	1	10	2	5		9999		2
238	3	1		2004	66	2	3.0	1	1	1	7	2	1		9999		2
238	4	1		2006	66	1	0.5	1	1	5	5	2	5		9999		2
239	5	1		2009	1	1	0.25	1	1	5	3	2	1		9999		2
240	3	1		2011	1	1	0.5	2	1	5	1	9					2
240	4	2	1														2
244	3	2	1														2
245	3	1		2008	1	1	0.5	1	1	5	4	2	5		9999		2
245	4	1		2009	1	1	0.5	1	1	1	2	2	1		9999		2
245	5	1		2011	1	1	0.5	2	1	1	1	9					2
245	6	2	1														2
246	3	1		2003	66	2	1.0	1	1	1	8	2	1		9999		2
254	5	1		2002	1	2	1.0	2	2				1		2009	3	2
255	3	1		2010	66	1	0.25	1	1	1	1	2	1		9999		2
257	3	1		2010	66	1	0.25	1	1	5	1	2	1		9999		2
258	3	1		2003	1	2	1.0	1	1	1	8	2	1		9999		2
261	3	1		2011	66	11	0.25	2	1	1	66	9					2
